TIMESTAMP,PM2.5,PM10,TEMPERATURE,HUMIDITY,RH,WS,WD,SR,RF,AT,NO2,Ozone,hour,day,month,PM25_lag_1,PM10_lag_1,PM25_lag_3,PM10_lag_3,PM25_lag_6,PM10_lag_6,PM25_lag_12,PM10_lag_12,PM25_lag_24,PM10_lag_24,PM25_lag_48,PM10_lag_48,PM25_lag_168,PM10_lag_168,PM25_roll_mean_6,PM10_roll_mean_6,WD_sin,WD_cos,target
2026-01-28,17.40458333333333,38.73875,26.176666666666666,59.151250000000005,66.00625000000001,2.424166666666667,198.87666666666667,37.56791666666667,0.0,26.057083333333335,22.607916666666668,50.5,0,28,1,7.59,17.615416666666665,3.9812499999999997,5.4433333333333325,5.2612499999999995,6.821666666666666,7.82125,9.579166666666667,25.880416666666665,35.600833333333334,22.350000000000005,29.99,21.399999999999995,29.929999999999996,6.962083333333333,13.174444444444445,-0.3235321042430072,-0.9462171936316165,17.40458333333333
2026-01-29,30.049166666666665,55.9475,27.218333333333334,56.703333333333326,66.38166666666667,2.3495833333333334,196.74958333333333,39.861666666666665,0.0,27.58666666666667,23.818749999999998,47.56458333333333,0,29,1,17.40458333333333,38.73875,3.5545833333333334,4.98375,4.834583333333334,6.3625,7.394583333333333,9.119583333333333,21.55695652173913,29.94826086956522,22.357916666666668,29.99,21.409166666666668,29.929999999999996,11.164513888888889,21.43861111111111,-0.28818930447102326,-0.9575734566018984,30.049166666666665
2026-01-30,37.711666666666666,72.52499999999999,28.0425,69.18791666666667,67.27291666666666,2.5433333333333334,203.83375,35.810833333333335,0.0,27.703333333333333,24.170416666666668,49.026250000000005,0,30,1,30.049166666666665,55.9475,7.59,17.615416666666665,4.4075,5.902916666666666,6.985454545454545,8.67909090909091,23.060625,31.205,22.365416666666665,29.99,21.416190476190476,29.93,16.715208333333333,32.542291666666664,-0.4040841820425321,-0.914721801327058,37.711666666666666
2026-01-31,38.46208333333333,77.60083333333334,28.222083333333334,72.85333333333334,67.36999999999999,2.3312500000000003,202.21875,37.4775,0.0,27.42625,18.442916666666665,39.37166666666666,0,31,1,37.711666666666666,72.52499999999999,17.40458333333333,38.73875,3.9812499999999997,5.4433333333333325,6.5085,8.1655,21.419166666666666,29.24083333333333,22.37291666666667,29.99,21.423750000000002,29.929999999999996,22.46201388888889,44.56854166666667,-0.37814375702154057,-0.925746887127164,38.46208333333333
2026-02-01,40.032916666666665,81.26833333333333,25.890416666666667,77.04083333333334,65.54666666666667,2.1287499999999997,178.52541666666664,39.940000000000005,0.004166666666666667,27.457083333333333,20.582916666666666,42.20875,0,1,2,38.46208333333333,77.60083333333334,30.049166666666665,55.9475,3.5545833333333334,4.98375,6.114583333333333,7.740833333333334,20.005,26.4425,22.38,29.99,21.431250000000002,29.938333333333333,28.541736111111106,57.28263888888889,0.025733493240776506,-0.9996688388289529,40.032916666666665
2026-02-02,39.39875,80.39,26.460416666666664,73.06875000000001,64.6375,2.1325,186.92416666666668,40.23708333333334,0.0,27.139583333333334,18.084583333333335,34.60166666666667,0,2,2,40.032916666666665,81.26833333333333,37.711666666666666,72.52499999999999,7.59,17.615416666666665,5.6875,7.281666666666666,23.462857142857143,30.457857142857144,22.39,29.99,21.44,29.94,33.84319444444444,67.74506944444444,-0.12055556117276622,-0.9927065813574116,39.39875
2026-02-03,37.92583333333334,76.57000000000001,27.269166666666667,68.385,64.98625,2.285416666666667,194.31041666666667,37.422916666666666,0.0,27.227500000000003,20.023750000000003,44.67250000000001,0,3,2,39.39875,80.39,38.46208333333333,77.60083333333334,17.40458333333333,38.73875,5.2612499999999995,6.821666666666666,10.8995,13.635499999999999,22.397499999999997,29.99,21.448333333333334,29.94,37.26340277777778,74.05027777777778,-0.2471751806711538,-0.9689708097049067,37.92583333333334
2026-02-04,36.45291666666667,72.75,28.077916666666667,63.705000000000005,64.49458333333332,2.1374999999999997,166.49166666666667,42.93333333333334,0.0,28.027083333333334,29.102500000000003,49.189166666666665,0,4,2,37.92583333333334,76.57000000000001,40.032916666666665,81.26833333333333,30.049166666666665,55.9475,4.834583333333334,6.3625,6.356,8.269,22.404583333333335,29.99,21.455833333333334,29.94,38.33069444444445,76.85069444444444,0.23358678685840906,-0.9723359568611891,36.45291666666667
2026-02-05,34.98,68.92999999999999,28.886666666666667,59.025,64.59791666666666,2.1999999999999997,165.63291666666666,40.635,0.0,27.917916666666667,27.512916666666666,38.72083333333333,0,5,2,36.45291666666667,72.75,39.39875,80.39,37.711666666666666,72.52499999999999,4.4075,5.902916666666666,9.635652173913044,11.699565217391303,22.4125,29.99,21.463478260869568,29.94,37.875416666666666,76.25152777777778,0.24813339104893292,-0.9687258746655616,34.98
2026-02-06,33.568333333333335,65.27055555555555,29.661666666666665,54.54,65.335,2.06,187.08444444444444,33.370000000000005,0.0,24.702222222222222,23.921666666666667,32.769444444444446,0,6,2,34.98,68.92999999999999,37.92583333333334,76.57000000000001,38.46208333333333,77.60083333333334,3.9812499999999997,5.4433333333333325,9.10125,10.957500000000001,22.420000000000005,29.99,21.470416666666665,29.94,37.05979166666666,74.19648148148148,-0.12333205837265097,-0.992365458577416,33.568333333333335
