TIMESTAMP,PM2.5,PM10,TEMPERATURE,HUMIDITY,RH,WS,WD,SR,RF,AT,NO2,Ozone,hour,day,month,PM25_lag_1,PM10_lag_1,PM25_lag_2,PM10_lag_2,PM25_lag_3,PM10_lag_3,PM25_lag_6,PM10_lag_6,PM25_lag_12,PM10_lag_12,PM25_lag_24,PM10_lag_24,PM25_lag_48,PM10_lag_48,PM25_lag_72,PM10_lag_72,PM25_roll_mean_6,PM25_roll_mean_24,PM10_roll_mean_6,PM10_roll_mean_24,hour_sin,hour_cos,PM25_diff,PM10_diff,PM25_roll_std_6,PM10_roll_std_6
2025-08-16 08:00:00,14.22689075630252,21.33613445378151,25.469747899159664,100.0,71.79,1.62,164.92,6.75,0.1,27.36,12.63,17.75,8,16,8,14.15126050420168,21.252100840336134,13.050420168067227,19.18487394957983,12.596638655462185,17.613445378151262,13.890756302521009,19.361344537815125,40.888888888888886,58.0,18.42105263157895,28.017543859649123,35.31481481481482,51.120370370370374,21.327731092436974,33.436974789915965,14.47516500853215,22.474194108740203,20.586223799864772,33.66958248957116,0.8660254037844387,-0.4999999999999998,,,,
2025-08-16 09:00:00,15.629310344827585,23.43103448275862,25.71551724137931,100.0,72.19,1.65,205.0,54.22,0.3,27.84,12.66,30.29,9,16,8,14.22689075630252,21.33613445378151,14.15126050420168,21.252100840336134,13.050420168067227,19.18487394957983,16.98095238095238,22.742857142857144,43.732394366197184,62.816901408450704,15.89655172413793,24.146551724137932,32.186440677966104,47.83898305084746,21.126050420168067,34.61344537815126,14.249891335844685,22.46305905126894,20.700920023181684,33.63976927118035,0.7071067811865476,-0.7071067811865475,1.4024195885250652,2.094900028977108,,
2025-08-16 10:00:00,20.234782608695653,32.44347826086957,25.996521739130433,100.0,72.51,1.44,156.19,40.83,0.1,28.23,13.08,30.82,10,16,8,15.629310344827585,23.43103448275862,14.22689075630252,21.33613445378151,14.15126050420168,21.252100840336134,15.844827586206897,21.387931034482758,45.92727272727273,64.34545454545454,17.563025210084035,28.647058823529413,34.473214285714285,48.63392857142857,25.47008547008547,40.36752136752137,14.981550506259476,22.574382276211086,22.543511227579486,33.79795341440286,0.49999999999999994,-0.8660254037844387,4.605472263868068,9.01244377811095,,
2025-08-16 11:00:00,19.83050847457627,33.50847457627118,26.072033898305083,100.0,72.49,1.04,233.48,8.35,0.8,28.19,12.3,45.99,11,16,8,20.234782608695653,32.44347826086957,15.629310344827585,23.43103448275862,14.22689075630252,21.33613445378151,12.596638655462185,17.613445378151262,38.24770642201835,55.15596330275229,18.914529914529915,32.965811965811966,37.97530864197531,53.45679012345679,24.116504854368934,36.81553398058252,16.18719547611182,22.612548049546348,25.192682760599478,33.82056435650533,0.258819045102521,-0.9659258262890682,-0.4042741341193832,1.0649963154016149,,
2025-08-16 12:00:00,22.77777777777778,39.26262626262626,26.117171717171715,100.0,71.37,1.14,235.46,0.0,2.7,26.89,12.84,52.77,12,16,8,19.83050847457627,33.50847457627118,20.234782608695653,32.44347826086957,15.629310344827585,23.43103448275862,13.050420168067227,19.18487394957983,23.895652173913042,40.391304347826086,28.52,45.68,29.833333333333332,45.48809523809524,31.69811320754717,45.471698113207545,17.808421744396913,22.37328879028709,28.538974812773876,33.553173784114755,1.2246467991473532e-16,-1.0,2.9472693032015087,5.75415168635508,,
2025-08-16 13:00:00,17.93859649122807,28.54385964912281,26.29736842105263,99.99736842105264,70.9,1.1,201.1,0.85,2.3,26.32,14.07,48.39,13,16,8,22.77777777777778,39.26262626262626,19.83050847457627,33.50847457627118,20.234782608695653,32.44347826086957,14.15126050420168,21.252100840336134,14.46218487394958,22.50420168067227,22.25,34.851851851851855,23.735632183908045,36.40229885057471,29.735849056603772,44.04716981132076,18.439644408901312,22.193646977421594,29.75426794757166,33.29034077566771,-0.2588190451025208,-0.9659258262890683,-4.83918128654971,-10.718766613503455,3.15825094115995,6.6939993813316745
2025-08-16 14:00:00,16.533333333333335,25.316666666666666,26.08833333333333,100.0,71.15,1.79,120.19,8.65,0.0,26.64,13.09,48.54,14,16,8,17.93859649122807,28.54385964912281,22.77777777777778,39.26262626262626,19.83050847457627,33.50847457627118,14.22689075630252,21.33613445378151,13.890756302521009,19.361344537815125,19.310344827586206,31.896551724137932,26.608247422680414,42.05154639175258,23.289473684210527,33.75,18.824051505073115,22.077938165161058,30.417689983052515,33.016178898273076,-0.4999999999999997,-0.8660254037844388,-1.4052631578947334,-3.227192982456142,2.6409415261422886,5.8349755682846345
2025-08-16 15:00:00,21.828282828282827,34.23232323232323,25.973737373737375,100.0,71.64,1.21,189.82,15.9,0.1,27.21,13.59,53.2,15,16,8,16.533333333333335,25.316666666666666,17.93859649122807,28.54385964912281,22.77777777777778,39.26262626262626,15.629310344827585,23.43103448275862,16.98095238095238,22.742857142857144,17.412280701754387,25.93859649122807,29.598130841121495,45.23364485981308,27.431818181818183,38.22727272727273,19.85721358564899,22.261938253766413,32.21790477464662,33.36175084581871,-0.7071067811865471,-0.7071067811865479,5.294949494949492,8.915656565656565,2.3361229495239337,4.827590110682605
2025-08-16 16:00:00,19.73148148148148,32.05555555555556,25.9787037037037,100.0,71.87,1.85,189.77,6.72,0.0,27.48,13.32,52.59,16,16,8,21.828282828282827,34.23232323232323,16.533333333333335,25.316666666666666,17.93859649122807,28.54385964912281,20.234782608695653,32.44347826086957,15.844827586206897,21.387931034482758,18.29591836734694,26.428571428571427,28.6144578313253,41.69879518072289,26.698630136986303,38.657534246575345,19.77333006444663,22.32175338352201,32.153250990427615,33.59620851777638,-0.8660254037844385,-0.5000000000000004,-2.096801346801346,-2.1767676767676747,2.3288788590452767,4.826562432708648
2025-08-16 17:00:00,18.71186440677966,27.906779661016948,25.70593220338983,100.0,71.89,1.66,216.84,0.0,0.2,27.51,13.21,40.08,17,16,8,19.73148148148148,32.05555555555556,21.828282828282827,34.23232323232323,16.533333333333335,25.316666666666666,19.83050847457627,33.50847457627118,12.596638655462185,17.613445378151262,16.526785714285715,25.0,38.27906976744186,57.25581395348837,22.546511627906977,33.76744186046512,19.586889386480525,22.412798329042598,31.21963517121858,33.71732433698542,-0.9659258262890683,-0.25881904510252063,-1.01961707470182,-4.148775894538609,2.367837110696544,5.048654897708657
